retrieverank,retrieveimage,retrievename,retrievecode,fixation
337,CFD_faces_testing/CFD-LF-230-203-N.jpg,Tisha,3,3.82627612200321
115,CFD_faces_testing/CFD-BF-006-017-N.jpg,Carly,2,2.76124762075534
93,CFD_faces_testing/CFD-AM-237-154-N.jpg,Troy,1,2.39784418054509
96,CFD_faces_testing/CFD-AM-240-191-N.jpg,Chad,1,3.63501467365527
119,CFD_faces_testing/CFD-BF-010-001-N.jpg,Haley,1,4.48341179441277
294,CFD_faces_testing/CFD-BM-241-235-N.jpg,Derek,3,4.51101881306847
60,CFD_faces_testing/CFD-AM-203-086-N.jpg,Terry,2,4.50004594110327
409,CFD_faces_testing/CFD-LM-248-089-N.jpg,Quinn,3,2.61114630288175
105,CFD_faces_testing/CFD-AM-249-163-N.jpg,Todd,2,3.63325309774632
543,CFD_faces_testing/CFD-WM-202-107-N.jpg,Davon,1,4.62482816462705
237,CFD_faces_testing/CFD-BM-028-002-N.jpg,Noah,2,2.363000258509
406,CFD_faces_testing/CFD-LM-244-068-N.jpg,Pablo,1,4.5690523056118
449,CFD_faces_testing/CFD-WF-037-029-N.jpg,Amelia,1,4.69932805688698
170,CFD_faces_testing/CFD-BF-212-315-N.jpg,Tiana,3,2.65359537180941
498,CFD_faces_testing/CFD-WF-246-087-N.jpg,Iris,2,2.23093725480468
314,CFD_faces_testing/CFD-LF-207-198-N.jpg,Randi,1,3.42264548144562
477,CFD_faces_testing/CFD-WF-225-101-N.jpg,Alaina,3,4.50508239720399
512,CFD_faces_testing/CFD-WM-011-002-N.jpg,Conor,3,3.4081805061255
221,CFD_faces_testing/CFD-BM-011-016-N.jpg,Jace,2,3.24130981774849
35,CFD_faces_testing/CFD-AF-234-208-N.jpg,Sarah,2,3.50823879155
414,CFD_faces_testing/CFD-LM-253-075-N.jpg,Larry,2,2.37631987999897
471,CFD_faces_testing/CFD-WF-219-038-N.jpg,Deanna,1,2.39685597628382
550,CFD_faces_testing/CFD-WM-209-038-N.jpg,Heath,3,4.61142609542326
517,CFD_faces_testing/CFD-WM-016-001-N.jpg,Felix,1,3.80885054390566
42,CFD_faces_testing/CFD-AF-241-141-N.jpg,Brandy,2,2.7959051781614
345,CFD_faces_testing/CFD-LF-238-154-N.jpg,Susie,1,4.5944077401708
578,CFD_faces_testing/CFD-WM-238-020-N.jpg,Monty,1,2.17432837467193
3,CFD_faces_testing/CFD-AF-202-122-N.jpg,Mary,3,3.37326165530626
79,CFD_faces_testing/CFD-AM-223-138-N.jpg,Liam,3,4.16662893229855
4,CFD_faces_testing/CFD-AF-203-077-N.jpg,Sage,2,3.01699745478824
458,CFD_faces_testing/CFD-WF-206-147-N.jpg,Fatima,3,3.20365957077894
33,CFD_faces_testing/CFD-AF-232-078-N.jpg,Cara,1,3.58093925658448
142,CFD_faces_testing/CFD-BF-035-001-N.jpg,Sara,2,4.68270714339354
401,CFD_faces_testing/CFD-LM-239-075-N.jpg,Kent,2,4.33508197493993
47,CFD_faces_testing/CFD-AF-246-242-N.jpg,Judy,3,2.20810280800701
75,CFD_faces_testing/CFD-AM-218-085-N.jpg,Mark,3,2.83635358586313
