retrieverank,retrieveimage,retrievename,retrievecode,fixation
469,CFD_faces_testing/CFD-WF-217-085-N.jpg,Maya,2,3.22944949745151
403,CFD_faces_testing/CFD-LM-241-125-N.jpg,Raul,2,2.37014414692814
23,CFD_faces_testing/CFD-AF-222-134-N.jpg,Ella,3,3.32904977798671
462,CFD_faces_testing/CFD-WF-210-086-N.jpg,Haylee,3,4.6968192108929
291,CFD_faces_testing/CFD-BM-238-242-N.jpg,Aidan,1,3.06091700535698
99,CFD_faces_testing/CFD-AM-243-212-N.jpg,Gary,3,2.36053435865758
37,CFD_faces_testing/CFD-AF-236-145-N.jpg,Jane,1,3.70733307633112
94,CFD_faces_testing/CFD-AM-238-269-N.jpg,Cory,1,4.62509817909647
580,CFD_faces_testing/CFD-WM-240-125-N.jpg,Elmer,1,3.04572493131168
494,CFD_faces_testing/CFD-WF-242-001-N.jpg,Kyra,2,2.12576301472631
13,CFD_faces_testing/CFD-AF-212-097-N.jpg,Shania,2,2.42701915816517
390,CFD_faces_testing/CFD-LM-228-188-N.jpg,Miles,1,2.22977850462925
378,CFD_faces_testing/CFD-LM-216-082-N.jpg,Frank,3,4.22157976790266
278,CFD_faces_testing/CFD-BM-225-154-N.jpg,Ruben,2,3.369575381957
552,CFD_faces_testing/CFD-WM-211-054-N.jpg,Lewis,1,4.00474794594659
224,CFD_faces_testing/CFD-BM-015-015-N.jpg,Tate,3,4.09773822680938
327,CFD_faces_testing/CFD-LF-220-120-N.jpg,Audra,1,3.71407163717227
8,CFD_faces_testing/CFD-AF-207-023-N.jpg,Doris,2,3.88608002586333
419,CFD_faces_testing/CFD-WF-006-002-N.jpg,Shelby,1,4.63329177527015
20,CFD_faces_testing/CFD-AF-219-106-N.jpg,Tara,3,3.98705521888412
233,CFD_faces_testing/CFD-BM-024-001-N.jpg,Kurt,3,4.6262408356244
326,CFD_faces_testing/CFD-LF-219-223-N.jpg,Alisa,1,3.40255105651468
397,CFD_faces_testing/CFD-LM-235-231-N.jpg,Jimmy,3,2.42400808500999
92,CFD_faces_testing/CFD-AM-236-090-N.jpg,Duane,2,2.20440337169777
404,CFD_faces_testing/CFD-LM-242-002-N.jpg,Damon,1,4.14272722075962
73,CFD_faces_testing/CFD-AM-216-114-N.jpg,Seth,3,2.92395808454896
340,CFD_faces_testing/CFD-LF-233-277-N.jpg,Ellen,2,4.01349191513469
356,CFD_faces_testing/CFD-LF-249-132-N.jpg,Alyssa,3,3.95726250626679
317,CFD_faces_testing/CFD-LF-210-220-N.jpg,Paula,3,3.59314651503531
23,CFD_faces_testing/CFD-AF-222-134-N.jpg,Ella,1,4.14532109528692
122,CFD_faces_testing/CFD-BF-013-001-N.jpg,Maria,1,3.51443186906924
377,CFD_faces_testing/CFD-LM-215-247-N.jpg,Myles,2,3.46399807551568
551,CFD_faces_testing/CFD-WM-210-057-N.jpg,Owen,2,3.49351492709
201,CFD_faces_testing/CFD-BF-243-164-N.jpg,Kaylie,2,4.80792665997328
81,CFD_faces_testing/CFD-AM-225-102-N.jpg,Devin,2,3.16784504838958
182,CFD_faces_testing/CFD-BF-224-002-N.jpg,Eliza,3,2.35143549718273
