retrieverank,retrieveimage,retrievename,retrievecode,fixation
558,CFD_faces_testing/CFD-WM-217-070-N.jpg,Loren,3,4.65326797728072
86,CFD_faces_testing/CFD-AM-230-150-N.jpg,Gage,3,4.13794038427745
373,CFD_faces_testing/CFD-LM-211-128-N.jpg,Jonah,1,3.13444531424643
206,CFD_faces_testing/CFD-BF-248-149-N.jpg,Irene,3,2.7467588329878
500,CFD_faces_testing/CFD-WF-248-129-N.jpg,Noelle,1,2.75856123571782
276,CFD_faces_testing/CFD-BM-223-171-N.jpg,Mason,3,4.3017307835808
273,CFD_faces_testing/CFD-BM-219-141-N.jpg,Luis,2,2.14958565514172
524,CFD_faces_testing/CFD-WM-023-001-N.jpg,Jarod,1,4.05586570282673
46,CFD_faces_testing/CFD-AF-245-143-N.jpg,Lauren,2,3.860834366453
172,CFD_faces_testing/CFD-BF-214-308-N.jpg,Clara,1,4.24005388990618
323,CFD_faces_testing/CFD-LF-216-121-N.jpg,Emma,2,4.93176694503701
592,CFD_faces_testing/CFD-WM-253-119-N.jpg,Joseph,1,3.15174053798185
332,CFD_faces_testing/CFD-LF-225-164-N.jpg,Tonia,3,2.78061680694117
428,CFD_faces_testing/CFD-WF-015-006-N.jpg,Isabel,3,4.63240860804237
6,CFD_faces_testing/CFD-AF-205-155-N.jpg,Jada,1,4.41828795053194
25,CFD_faces_testing/CFD-AF-224-026-N.jpg,Lisa,3,3.3833632393391
111,CFD_faces_testing/CFD-BF-002-001-N.jpg,Gwen,3,2.27288506377266
366,CFD_faces_testing/CFD-LM-203-026-N.jpg,Malik,1,3.69280647581959
393,CFD_faces_testing/CFD-LM-231-214-N.jpg,Alex,2,2.56214866744582
102,CFD_faces_testing/CFD-AM-246-184-N.jpg,Nick,2,3.5950687576842
151,CFD_faces_testing/CFD-BF-044-034-N.jpg,Raven,1,3.06509996532015
321,CFD_faces_testing/CFD-LF-214-090-N.jpg,Elyse,3,2.94435051426648
67,CFD_faces_testing/CFD-AM-210-035-N.jpg,Simon,2,4.18022440652808
114,CFD_faces_testing/CFD-BF-005-001-N.jpg,Emily,1,3.54731857440061
1,CFD_faces_testing/CFD-AF-200-228-N.jpg,Nicole,2,4.37193469373743
355,CFD_faces_testing/CFD-LF-248-160-N.jpg,Sally,2,2.61347774407687
335,CFD_faces_testing/CFD-LF-228-125-N.jpg,Lena,2,4.03431823267939
236,CFD_faces_testing/CFD-BM-027-001-N.jpg,Neal,3,2.15745662791407
504,CFD_faces_testing/CFD-WF-252-159-N.jpg,Sharon,1,4.4035170870875
65,CFD_faces_testing/CFD-AM-208-143-N.jpg,Jack,1,4.03570591645794
522,CFD_faces_testing/CFD-WM-021-001-N.jpg,Kevon,1,4.83802683525219
251,CFD_faces_testing/CFD-BM-044-001-N.jpg,Lane,2,2.27467442862449
106,CFD_faces_testing/CFD-AM-250-149-N.jpg,Kody,3,4.72531511173453
345,CFD_faces_testing/CFD-LF-238-154-N.jpg,Susie,3,3.52985911115961
360,CFD_faces_testing/CFD-LF-253-003-N.jpg,Terra,2,3.84471069542017
72,CFD_faces_testing/CFD-AM-215-120-N.jpg,Brian,2,2.94821360265788
