retrieverank,retrieveimage,retrievename,retrievecode,fixation
66,CFD_faces_testing/CFD-AM-209-048-N.jpg,Juan,1,3.30010720201578
2,CFD_faces_testing/CFD-AF-201-060-N.jpg,Anna,1,2.41927627729777
68,CFD_faces_testing/CFD-AM-211-052-N.jpg,Reid,2,4.25578852392525
358,CFD_faces_testing/CFD-LF-251-057-N.jpg,Marina,2,2.72536038076166
149,CFD_faces_testing/CFD-BF-042-026-N.jpg,Karla,1,3.95137796743419
398,CFD_faces_testing/CFD-LM-236-163-N.jpg,Kaden,3,4.5721221825034
104,CFD_faces_testing/CFD-AM-248-104-N.jpg,Carl,3,2.25311141313545
225,CFD_faces_testing/CFD-BM-016-036-N.jpg,Tony,2,4.91626748513852
587,CFD_faces_testing/CFD-WM-248-036-N.jpg,Louie,3,2.09437980667735
31,CFD_faces_testing/CFD-AF-230-193-N.jpg,Holly,2,4.50621365133458
24,CFD_faces_testing/CFD-AF-223-183-N.jpg,Kira,1,4.50714004451258
530,CFD_faces_testing/CFD-WM-031-003-N.jpg,Byron,3,2.14957250403678
590,CFD_faces_testing/CFD-WM-251-002-N.jpg,Joshua,1,3.63765862667249
407,CFD_faces_testing/CFD-LM-246-087-N.jpg,Kyler,1,4.82950951896644
585,CFD_faces_testing/CFD-WM-245-123-N.jpg,Ernie,1,2.96441920960997
464,CFD_faces_testing/CFD-WF-212-050-N.jpg,Vivian,1,4.41940041138
178,CFD_faces_testing/CFD-BF-220-161-N.jpg,Lacey,3,3.80419626575843
361,CFD_faces_testing/CFD-LF-254-125-N.jpg,Amanda,3,4.36886139536912
387,CFD_faces_testing/CFD-LM-225-130-N.jpg,Kobe,2,4.39755510513295
112,CFD_faces_testing/CFD-BF-003-003-N.jpg,Rena,3,2.14869429673463
25,CFD_faces_testing/CFD-AF-224-026-N.jpg,Lisa,1,2.84959590152284
97,CFD_faces_testing/CFD-AM-241-287-N.jpg,Jaden,2,3.96037047193989
436,CFD_faces_testing/CFD-WF-023-003-N.jpg,Rachel,2,3.46896603598541
100,CFD_faces_testing/CFD-AM-244-222-N.jpg,Josue,2,4.91855671103241
447,CFD_faces_testing/CFD-WF-035-024-N.jpg,Selena,3,4.24546972993125
234,CFD_faces_testing/CFD-BM-025-035-N.jpg,Deon,3,3.70352344921642
547,CFD_faces_testing/CFD-WM-206-045-N.jpg,Donte,1,2.89689249037159
48,CFD_faces_testing/CFD-AF-247-278-N.jpg,Jean,3,2.76832934318551
312,CFD_faces_testing/CFD-LF-205-100-N.jpg,Angie,3,4.65969138323464
208,CFD_faces_testing/CFD-BF-250-121-N.jpg,Karina,2,3.3404025883484
315,CFD_faces_testing/CFD-LF-208-127-N.jpg,Kelsi,1,4.44796175988862
489,CFD_faces_testing/CFD-WF-237-067-N.jpg,Alina,2,2.29501190523391
145,CFD_faces_testing/CFD-BF-038-037-N.jpg,Ruth,2,4.57878036042582
304,CFD_faces_testing/CFD-BM-251-013-N.jpg,Evan,2,2.08288702448353
363,CFD_faces_testing/CFD-LM-200-045-N.jpg,Mario,3,4.69746930276909
400,CFD_faces_testing/CFD-LM-238-129-N.jpg,Louis,1,4.69980650157853
